Latitude,Longitude
25.77996, -100.3856674
25.779559, -100.384595
25.7769795, -100.3940498
25.7759488, -100.3917023
25.7675412, -100.4094648
25.763579, -100.4000796
25.7612807, -100.3976938
25.7596398, -100.4009432
25.741197, -100.404743
25.7422074, -100.4067202
25.7405652, -100.4080991
25.7393843, -100.4063192
25.7551216, -100.4073881
25.7572211, -100.4084146
25.744406, -100.3944741
25.7359165, -100.402421
25.7437131, -100.392343
25.7384606, -100.3996082
25.7328334, -100.395103
25.7280181, -100.4032286
25.7337543, -100.4134325
25.7278708, -100.4044257
25.718895, -100.388349
25.7156135, -100.3825924
25.7020521, -100.3776922
25.697098, -100.3851033
25.7148033, -100.3714238
25.7209974, -100.3789552
25.731806, -100.3865745
25.7268892, -100.377268
25.724917, -100.3784068
25.7277361, -100.3776573
25.7160683, -100.3641636
25.7231507, -100.3607958
25.7231125, -100.3673529
25.7742808, -100.3984156
25.7698067, -100.3978774
25.7632274, -100.3989071
25.7457588, -100.4147608
25.7530749, -100.4083664
25.7455506, -100.4048358
25.7384606, -100.3996082
25.7379741, -100.3948976
25.581925, -100.288753
25.7366851, -100.3788721
25.7233598, -100.3772672
25.7182784, -100.3645681
25.7102392, -100.3695531
25.6932882, -100.3657847
25.687694, -100.365409
25.6948753, -100.373975
25.7479275, -100.3929544
25.6937822, -100.3808844
25.6880082, -100.37444
25.6731526, -100.3772442
25.6776946, -100.3958758
25.6722049, -100.3707136
25.6677465, -100.3625886
25.6686969, -100.3555936
25.6582918, -100.3225865
25.6582918, -100.3225865
25.6582918, -100.3225865
25.6582918, -100.3225865
25.6582918, -100.3225865
25.6582918, -100.3225865
25.6496338, -100.3135905
25.6596781, -100.3072205
25.6453965, -100.3038745
25.6460951, -100.3080443
25.6414391, -100.2897396
25.6390672, -100.2968054
25.6396085, -100.313931
25.6342016, -100.3003394
25.6306017, -100.29518
25.6238663, -100.2806273
25.6214333, -100.2795528
25.6203099, -100.2814935
25.6189642, -100.2800189
25.6261482, -100.2888762
25.6242716, -100.2815031
25.6195161, -100.299352
25.62377, -100.2964631
25.600318, -100.2750919
25.60155, -100.2754593
25.6083294, -100.2745522
25.6016331, -100.2745691
25.5982849, -100.2688043
25.5935586, -100.2840978
25.5867648, -100.2682093
25.5783636, -100.2890611
25.5734919, -100.2839969
25.5470776, -100.2320646
25.5651951, -100.2244158
25.5776486, -100.2379604
25.5808534, -100.2390384
25.5843269, -100.2370549
25.5856989, -100.2448504
25.7032481, -100.3702822
25.693348, -100.37939
25.68711, -100.3794627
25.6911128, -100.3678559
25.6900118, -100.376241
25.6883716, -100.3647772
25.6653574, -100.3511511
25.6653574, -100.3511511
25.6396085, -100.313931
25.638713, -100.319743
25.6384204, -100.2903475
25.6232759, -100.2863732
25.5823219, -100.2926876
25.7905999, -100.3820482
25.7847696, -100.3737584
25.7681984, -100.3690938
25.7608644, -100.3645854
25.7635872, -100.3588569
25.737841, -100.3651039
25.7524124, -100.3580157
25.7330168, -100.3597086
25.7298086, -100.3513985
25.7523695, -100.3481814
25.7508314, -100.3453807
25.7418374, -100.3368687
25.7450048, -100.3279466
25.7350162, -100.3418361
25.7797835, -100.3808088
25.7667204, -100.375603
25.7843737, -100.386283
25.7595528, -100.3760143
25.7787571, -100.4027679
25.7568853, -100.3734895
25.7776134, -100.3975206
25.7549284, -100.3535577
25.7703113, -100.3994799
25.7531539, -100.3494049
25.7672597, -100.3994072
25.7305427, -100.3527898
25.7700128, -100.3833096
25.7427265, -100.3441049
25.7622663, -100.3897892
25.7337596, -100.321176
25.7569385, -100.3932123
25.7824492, -100.391326
